Date,Weight,BMI,Body Fat,Lean Mass,Muscle Percentage,Water Percentage
2021/03/17,192.9,29.2,27.8,139.28,38.9,52.7
2021/03/16,193.34,29.3,27.9,139.4,38.8,52.6
2021/03/15,195.99,29.7,28.4,140.33,38.7,52.3
2021/03/14,194.67,29.5,28.1,139.97,38.8,52.5
2021/03/13,193.6,29.5,28.1,139.97,38.8,52.5
2021/03/12,194.89,29.5,28.2,139.93,38.7,52.4
2021/03/11,197.09,29.9,28.5,140.92,38.6,52.2
2021/03/10,195.33,29.6,28.3,140.05,38.7,52.4
2021/03/09,195.33,29.6,28.3,140.05,38.7,52.4
2021/03/08,195.33,29.6,28.2,140.25,38.7,52.4
2021/03/07,195.33,29.6,28.3,140.05,38.7,52.4
2021/03/06,196.21,29.7,28.4,140.49,38.6,52.3
2021/03/05,196.65,29.8,28.5,140.6,38.6,52.2
2021/03/05,196.65,29.8,28.5,140.6,38.6,52.2
2021/03/04,196.65,29.8,28.4,140.8,38.6,52.2
2021/03/03,197.09,29.9,28.6,140.72,38.6,52.2
2021/03/02,195.77,29.7,28.3,140.37,38.7,52.3
2021/03/01,197.31,29.9,28.6,140.88,38.6,52.1
2021/02/28,195.99,29.7,28.3,140.53,38.7,52.3
2021/02/27,195.11,29.6,28.2,140.09,38.7,52.4
2021/02/26,196.87,29.8,28.5,140.76,38.6,52.2
2021/02/25,195.77,29.7,28.3,140.37,38.7,52.3
2021/02/24,195.33,29.6,28.3,140.05,38.7,52.4
2021/02/23,195.55,29.6,28.3,140.21,38.7,52.3
2021/02/22,196.87,29.8,28.5,140.76,38.6,52.2
2021/02/21,194.45,29.5,28.1,139.81,38.8,52.5
2021/02/20,194.67,29.5,28.2,139.77,38.7,52.4
2021/02/19,195.11,29.6,28.2,140.09,38.7,52.4
2021/02/18,195.11,29.6,28.2,140.09,38.7,52.4
2021/02/17,196.87,29.8,28.5,140.76,38.6,52.2
2021/02/16,196.65,29.8,28.5,140.6,38.6,52.2
2021/02/15,196.65,29.8,28.5,140.6,38.6,52.2
2021/02/14,195.55,29.6,28.3,140.21,38.7,52.3
2021/02/13,194.89,29.5,28.2,139.93,38.7,52.4
2021/02/12,193.79,29.4,28.0,139.53,38.8,52.6
2021/02/11,196.21,29.7,28.4,140.49,38.6,52.3
2021/02/10,197.09,29.9,28.6,140.72,38.6,52.2
2021/02/09,195.99,29.7,28.4,140.33,38.6,52.3
2021/02/08,196.65,29.8,28.5,140.6,38.6,52.2
2021/02/07,195.11,29.6,28.2,140.09,38.7,52.4
2021/02/06,195.77,29.7,28.3,140.37,38.7,52.3
2021/02/05,196.87,29.8,28.5,140.76,38.6,52.2
2021/02/04,195.77,29.7,28.3,140.37,38.7,52.3
2021/02/03,195.77,29.7,28.3,140.37,38.7,52.3
2021/02/02,196.65,29.8,28.5,140.6,38.6,52.2
2021/02/01,196.43,29.8,28.5,140.45,38.6,52.2
2021/01/31,195.77,29.7,28.4,140.17,38.7,52.3
2021/01/30,195.77,29.7,28.3,140.37,38.7,52.3
2021/01/29,195.33,29.6,28.3,140.05,38.7,52.4
2021/01/28,197.53,29.9,28.6,141.04,38.5,52.1
2021/01/27,197.31,29.9,28.6,140.88,38.6,52.1
2021/01/26,196.43,29.8,28.5,140.45,38.6,52.2
2021/01/25,196.43,29.8,28.5,140.45,38.6,52.2
2021/01/24,197.31,29.9,28.6,140.88,38.6,52.1
2021/01/23,196.87,29.8,28.5,140.76,38.6,52.2
2021/01/22,197.53,29.9,28.7,140.84,38.5,52.1
2021/01/21,198.85,30.1,28.9,141.39,38.4,51.9
2021/01/20,199.08,30.2,28.9,141.54,38.4,51.9
2021/01/19,196.43,29.8,28.5,140.45,38.6,52.2
2021/01/18,196.43,29.8,28.4,140.64,38.6,52.2
2021/01/17,196.65,29.8,28.5,140.6,38.6,52.2
2021/01/16,197.31,29.9,28.6,140.88,38.6,52.1
2021/01/15,196.43,29.8,28.4,140.64,38.6,52.2
2021/01/14,197.98,30.0,28.7,141.16,38.5,52.0
2021/01/13,197.53,29.9,28.6,141.04,38.5,52.1
2021/01/12,198.63,30.1,28.8,141.43,38.5,52.0
2021/01/11,198.63,30.1,28.8,141.43,38.5,52.0
2021/01/10,198.85,30.1,28.9,141.39,38.5,51.9
2021/01/09,197.31,29.9,28.6,140.88,38.6,52.1
2021/01/08,198.2,30.0,28.8,141.12,38.5,52.0
2021/01/07,198.2,30.0,28.8,141.12,38.5,52.0
2021/01/06,199.08,30.2,28.9,141.54,38.4,51.9
2021/01/05,197.75,30.0,28.7,141,38.5,52.1
2021/01/04,199.74,30.3,29.0,141.81,38.4,51.8
2021/01/03,198.42,30.1,28.8,141.27,38.5,52.0
2021/01/02,201.28,30.5,29.2,142.51,38.3,51.7
2021/01/01,204.15,30.9,29.7,143.51,38.1,51.3
2020/12/31,201.72,30.6,29.3,142.62,38.4,51.6
2020/12/30,200.62,30.4,29.2,142.04,38.4,51.7
2020/12/29,200.84,30.4,29.2,142.19,38.4,51.7
2020/12/28,199.96,30.3,29.0,141.97,38.5,51.8
2020/12/27,201.5,30.5,29.3,142.46,38.4,51.6
2020/12/26,201.5,30.5,29.3,142.46,38.4,51.6
2020/12/25,200.18,30.3,29.1,141.93,38.5,51.8
2020/12/24,199.52,30.2,29.0,141.66,38.5,51.8
2020/12/23,199.08,30.2,28.9,141.54,38.5,51.9
2020/12/22,198.42,30.1,28.7,141.47,38.6,52.0
2020/12/21,201.94,30.6,29.3,142.77,38.3,51.6
2020/12/20,201.06,30.5,29.2,142.35,38.4,51.7
2020/12/19,198.85,30.1,28.8,141.58,38.6,52.0
2020/12/18,200.18,30.3,29.1,141.93,38.5,51.8
