license,name,count
unlicense,JavaScript,9528
unlicense,CSS,6765
unlicense,Shell,6445
unlicense,HTML,6378
unlicense,Python,6239
unlicense,Java,3965
unlicense,C,3043
unlicense,C++,3041
unlicense,Makefile,2459
unlicense,PHP,2299
unlicense,Ruby,2225
unlicense,C#,2191
unlicense,Batchfile,1012
unlicense,Objective-C,1002
unlicense,Go,862
unlicense,Perl,637
unlicense,Lua,597
unlicense,CoffeeScript,591
unlicense,TeX,446
unlicense,Vim script,439
unlicense,CMake,429
unlicense,Haskell,423
unlicense,Arduino,416
unlicense,VimL,371
unlicense,F#,365
unlicense,TypeScript,356
unlicense,Scala,339
unlicense,Assembly,338
unlicense,PowerShell,330
unlicense,ASP,319
unlicense,ApacheConf,317
unlicense,Swift,304
unlicense,Emacs Lisp,292
unlicense,Rust,281
unlicense,R,279
unlicense,Groovy,265
unlicense,Clojure,250
unlicense,ActionScript,216
unlicense,Jupyter Notebook,179
unlicense,GLSL,171
unlicense,Prolog,168
unlicense,Visual Basic,166
unlicense,Common Lisp,155
unlicense,Dockerfile,148
unlicense,Matlab,135
unlicense,Pascal,134
unlicense,QMake,134
unlicense,D,117
unlicense,Scheme,116
unlicense,XSLT,111
unlicense,Erlang,107
unlicense,Processing,104
unlicense,Roff,92
unlicense,Elixir,89
unlicense,AutoHotkey,86
unlicense,Groff,82
unlicense,Awk,73
unlicense,Puppet,72
unlicense,Racket,70
unlicense,OCaml,69
unlicense,Objective-C++,60
unlicense,M4,59
unlicense,Haxe,56
unlicense,Nginx,54
unlicense,QML,53
unlicense,PLpgSQL,53
unlicense,Elm,52
unlicense,Tcl,52
unlicense,Vue,52
unlicense,Smarty,51
unlicense,Kotlin,51
unlicense,AppleScript,48
unlicense,Verilog,45
unlicense,IDL,44
unlicense,Protocol Buffer,43
unlicense,Standard ML,43
unlicense,TSQL,42
unlicense,Dart,41
unlicense,PLSQL,40
unlicense,Nix,40
unlicense,Mathematica,37
unlicense,Cucumber,36
unlicense,Gnuplot,36
unlicense,VHDL,36
unlicense,Logos,36
unlicense,M,35
unlicense,OpenSCAD,34
unlicense,ShaderLab,33
unlicense,Smalltalk,31
unlicense,Julia,30
unlicense,FORTRAN,30
unlicense,SaltStack,30
unlicense,Eagle,29
unlicense,Lex,27
unlicense,Perl6,27
unlicense,GDB,27
unlicense,SourcePawn,26
unlicense,Forth,26
unlicense,Hack,26
unlicense,Yacc,25
unlicense,LiveScript,24
unlicense,Cuda,24
unlicense,AngelScript,24
unlicense,DIGITAL Command Language,23
unlicense,KiCad,23
unlicense,SQLPL,22
unlicense,HLSL,22
unlicense,Nimrod,22
unlicense,Handlebars,21
unlicense,Brainfuck,20
unlicense,HCL,20
unlicense,PostScript,19
unlicense,FreeMarker,17
unlicense,Stata,17
unlicense,SystemVerilog,17
unlicense,OpenEdge ABL,17
unlicense,ColdFusion,17
unlicense,Coq,16
unlicense,Fortran,16
unlicense,AutoIt,16
unlicense,MATLAB,16
unlicense,XML,16
unlicense,NSIS,15
unlicense,Max,15
unlicense,Gherkin,15
unlicense,Mako,15
unlicense,GAP,15
unlicense,Ada,14
unlicense,SAS,14
unlicense,Modelica,13
unlicense,AGS Script,13
unlicense,PureBasic,13
unlicense,Perl 6,13
unlicense,Idris,12
unlicense,Squirrel,12
unlicense,ANTLR,12
unlicense,Agda,11
unlicense,Scilab,11
unlicense,LLVM,10
unlicense,Rich Text Format,10
unlicense,Inno Setup,10
unlicense,PureScript,10
unlicense,Vala,10
unlicense,COBOL,10
unlicense,Vim Snippet,9
unlicense,Nim,9
unlicense,Xtend,9
unlicense,Raku,9
unlicense,NewLisp,9
unlicense,Lasso,9
unlicense,PAWN,9
unlicense,GCC Machine Description,9
unlicense,Io,8
unlicense,Game Maker Language,8
unlicense,LilyPond,8
unlicense,Pure Data,8
unlicense,SQL,7
unlicense,RAML,7
unlicense,MoonScript,7
unlicense,DOT,7
unlicense,YASnippet,7
unlicense,Crystal,7
unlicense,SuperCollider,7
unlicense,Gosu,7
unlicense,XQuery,6
unlicense,LOLCODE,6
unlicense,JSONiq,6
unlicense,Apex,6
unlicense,J,6
unlicense,Thrift,6
unlicense,Module Management System,6
unlicense,Meson,6
unlicense,Bison,5
unlicense,CLIPS,5
unlicense,EmberScript,5
unlicense,xBase,5
unlicense,1C Enterprise,5
unlicense,LSL,5
unlicense,GDScript,5
unlicense,Boo,5
unlicense,Bro,5
unlicense,API Blueprint,5
unlicense,sed,4
unlicense,AspectJ,4
unlicense,CartoCSS,4
unlicense,RobotFramework,4
unlicense,E,4
unlicense,RPC,4
unlicense,Limbo,4
unlicense,Pony,4
unlicense,DTrace,4
unlicense,Liquid,4
unlicense,Arc,4
unlicense,Mercury,4
unlicense,ooc,4
unlicense,XProc,4
unlicense,Eiffel,4
unlicense,VBA,4
unlicense,BlitzBasic,4
unlicense,Ragel in Ruby Host,4
unlicense,AMPL,4
unlicense,Rebol,4
unlicense,NetLogo,3
unlicense,Mask,3
unlicense,ABAP,3
unlicense,SQF,3
unlicense,DM,3
unlicense,Web Ontology Language,3
unlicense,Delphi,3
unlicense,XS,3
unlicense,BitBake,3
unlicense,Factor,3
unlicense,XC,3
unlicense,Hy,3
