workclass,education,marital_status,occupation,race,sex,income_bracket
 Private, 9th, Married-civ-spouse, Other-service, Black, Female, <=50K
 Private, 9th, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Female, >50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, White, Female, >50K
 Private, 9th, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, 9th, Married-civ-spouse, Tech-support, White, Female, <=50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Self-emp-inc, 9th, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, Black, Female, <=50K
 Local-gov, 9th, Married-civ-spouse, Other-service, White, Female, >50K
 ?, 9th, Married-civ-spouse, ?, Asian-Pac-Islander, Female, <=50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 9th, Married-civ-spouse, Farming-fishing, White, Female, <=50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 9th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 9th, Married-civ-spouse, Priv-house-serv, Black, Female, <=50K
 Private, 9th, Married-civ-spouse, Other-service, Black, Female, <=50K
 Self-emp-inc, 9th, Married-civ-spouse, Sales, White, Female, <=50K
 Local-gov, 9th, Married-civ-spouse, Other-service, White, Female, <=50K
 ?, 9th, Married-civ-spouse, ?, White, Female, <=50K
 Private, 9th, Married-civ-spouse, Protective-serv, Black, Female, <=50K
 Private, 10th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Other-service, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Adm-clerical, White, Female, <=50K
 Self-emp-inc, 10th, Married-civ-spouse, Transport-moving, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Machine-op-inspct, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Farming-fishing, Amer-Indian-Eskimo, Female, <=50K
 Private, 10th, Married-civ-spouse, Exec-managerial, White, Female, <=50K
 Private, 10th, Married-civ-spouse, Other-service, Black, Female, <=50K
