date,type,count
2021-01-01,Book,311
2020-06-01,Journal,1
2020-05-01,Journal,3
2020-04-01,Journal,478
2020-03-14,Journal,17
2020-03-13,Journal,141
2020-03-12,Journal,147
2020-03-11,Journal,124
2020-03-11,Book,1
2020-03-10,Journal,111
2020-03-09,Journal,161
2020-03-08,Journal,2
2020-03-08,Book,2
2020-03-07,Journal,82
2020-03-06,Journal,162
2020-03-05,Journal,159
2020-03-04,Journal,151
2020-03-03,Journal,135
2020-03-02,Journal,185
2020-03-01,Journal,1470
2020-02-29,Journal,21
2020-02-29,Book,2
2020-02-28,Journal,116
2020-02-27,Journal,129
2020-02-26,Journal,107
2020-02-25,Journal,78
2020-02-24,Journal,110
2020-02-23,Journal,5
2020-02-22,Journal,73
2020-02-21,Journal,108
2020-02-20,Journal,139
2020-02-19,Journal,119
2020-02-19,Book,1
2020-02-18,Journal,149
2020-02-17,Journal,110
2020-02-16,Journal,5
2020-02-15,Journal,62
2020-02-15,Book,1
2020-02-14,Journal,99
2020-02-13,Journal,120
2020-02-12,Journal,116
2020-02-11,Journal,111
2020-02-10,Journal,138
2020-02-09,Book,1
2020-02-09,Journal,1
2020-02-08,Journal,52
2020-02-07,Journal,128
2020-02-06,Journal,122
2020-02-06,Book,1
2020-02-05,Journal,109
2020-02-04,Journal,119
2020-02-03,Journal,148
2020-02-01,Journal,1940
2020-01-31,Journal,134
2020-01-30,Journal,142
2020-01-29,Journal,114
2020-01-28,Journal,117
2020-01-27,Journal,117
2020-01-26,Journal,1
2020-01-25,Journal,34
2020-01-24,Journal,110
2020-01-24,Book,1
2020-01-23,Journal,151
2020-01-22,Journal,123
2020-01-21,Journal,129
2020-01-20,Journal,119
2020-01-19,Journal,3
2020-01-18,Journal,39
2020-01-17,Journal,83
2020-01-16,Journal,120
2020-01-15,Journal,91
2020-01-15,Book,1
2020-01-14,Journal,99
2020-01-14,Book,2
2020-01-13,Journal,114
2020-01-11,Journal,35
2020-01-10,Journal,36
2020-01-09,Journal,97
2020-01-09,Book,1
2020-01-08,Journal,100
2020-01-07,Journal,95
2020-01-07,Book,1
2020-01-06,Journal,120
2020-01-04,Journal,42
2020-01-04,Book,1
2020-01-03,Journal,121
2020-01-03,Book,1
2020-01-02,Journal,179
2020-01-01,Book,1993
2020-01-01,Journal,1667
2019-12-31,Journal,20
2019-12-30,Journal,79
2019-12-29,Journal,3
2019-12-28,Journal,19
2019-12-27,Journal,119
2019-12-26,Journal,32
2019-12-25,Book,2
2019-12-24,Journal,45
2019-12-23,Journal,102
2019-12-21,Journal,46
2019-12-20,Journal,100
2019-12-19,Journal,113
2019-12-18,Journal,86
2019-12-17,Journal,107
2019-12-17,Book,1
2019-12-16,Journal,122
2019-12-14,Journal,30
2019-12-13,Journal,63
2019-12-12,Journal,115
2019-12-11,Journal,107
2019-12-10,Journal,102
2019-12-09,Journal,101
2019-12-08,Journal,2
2019-12-07,Journal,31
2019-12-06,Journal,79
2019-12-06,Book,2
2019-12-05,Journal,128
2019-12-05,Book,1
2019-12-04,Journal,110
2019-12-03,Journal,117
2019-12-03,Book,4
2019-12-02,Journal,113
2019-12-01,Journal,2424
2019-11-30,Journal,22
2019-11-29,Journal,94
2019-11-29,Book,2
2019-11-28,Journal,112
2019-11-28,Book,4
2019-11-27,Journal,124
2019-11-26,Journal,116
2019-11-25,Journal,65
2019-11-24,Journal,2
2019-11-23,Journal,28
2019-11-22,Journal,78
2019-11-21,Journal,128
2019-11-20,Journal,80
2019-11-19,Journal,82
2019-11-18,Journal,71
2019-11-17,Journal,3
2019-11-16,Journal,26
2019-11-15,Journal,92
2019-11-14,Journal,126
2019-11-13,Journal,92
2019-11-12,Journal,92
2019-11-11,Journal,88
2019-11-10,Journal,4
2019-11-10,Book,1
2019-11-09,Journal,45
2019-11-08,Journal,88
2019-11-07,Journal,103
2019-11-06,Journal,76
2019-11-05,Journal,66
2019-11-04,Journal,93
2019-11-03,Journal,5
2019-11-02,Journal,14
2019-11-01,Journal,1650
2019-10-31,Journal,91
2019-10-31,Book,1
2019-10-30,Journal,75
2019-10-30,Book,2
2019-10-29,Journal,91
2019-10-28,Journal,85
2019-10-27,Journal,2
2019-10-26,Journal,45
2019-10-26,Book,1
2019-10-25,Journal,96
2019-10-24,Journal,73
2019-10-24,Book,1
2019-10-23,Journal,78
2019-10-22,Journal,87
2019-10-21,Journal,60
2019-10-20,Journal,5
2019-10-19,Journal,23
2019-10-18,Journal,58
2019-10-17,Journal,76
2019-10-16,Journal,56
2019-10-15,Journal,160
2019-10-14,Journal,45
2019-10-13,Journal,7
2019-10-12,Journal,14
2019-10-11,Journal,60
2019-10-10,Journal,113
2019-10-10,Book,1
2019-10-09,Journal,30
2019-10-08,Journal,40
2019-10-07,Journal,35
2019-10-05,Journal,11
2019-10-04,Journal,50
2019-10-03,Journal,59
2019-10-02,Journal,36
2019-10-01,Journal,1820
2019-09-30,Journal,47
2019-09-28,Journal,12
2019-09-27,Journal,38
2019-09-26,Journal,51
2019-09-25,Journal,40
2019-09-24,Journal,43
2019-09-23,Journal,59
2019-09-21,Journal,6
2019-09-21,Book,1
2019-09-20,Journal,52
2019-09-19,Journal,44
2019-09-18,Journal,58
2019-09-17,Journal,37
2019-09-16,Journal,73
2019-09-15,Journal,269
2019-09-14,Journal,32
2019-09-13,Journal,86
2019-09-12,Journal,54
2019-09-11,Journal,87
2019-09-10,Journal,88
2019-09-09,Journal,65
2019-09-07,Journal,9
2019-09-06,Journal,67
2019-09-05,Journal,76
2019-09-05,Book,1
2019-09-04,Journal,45
2019-09-03,Journal,59
2019-09-02,Journal,128
2019-09-01,Journal,1455
2019-08-31,Journal,20
2019-08-30,Journal,43
2019-08-29,Journal,72
2019-08-29,Book,1
2019-08-28,Journal,53
2019-08-27,Journal,69
2019-08-26,Journal,37
2019-08-25,Book,1
2019-08-24,Journal,12
2019-08-23,Journal,57
2019-08-22,Journal,78
2019-08-21,Journal,47
2019-08-20,Journal,64
2019-08-19,Journal,72
2019-08-17,Journal,15
2019-08-16,Journal,51
2019-08-15,Journal,654
2019-08-14,Journal,81
2019-08-13,Journal,73
2019-08-12,Journal,74
2019-08-11,Journal,2
2019-08-10,Journal,12
2019-08-09,Journal,63
2019-08-08,Journal,85
2019-08-07,Journal,78
2019-08-06,Journal,71
2019-08-05,Journal,87
2019-08-03,Journal,12
2019-08-03,Book,1
2019-08-02,Journal,67
2019-08-02,Book,2
2019-08-01,Journal,1083
2019-07-31,Journal,59
2019-07-30,Journal,84
2019-07-29,Journal,87
2019-07-27,Journal,22
2019-07-26,Journal,51
2019-07-25,Journal,68
2019-07-24,Journal,60
2019-07-23,Journal,62
2019-07-22,Journal,84
2019-07-22,Book,1
2019-07-21,Journal,1
2019-07-20,Journal,24
2019-07-19,Journal,194
2019-07-19,Book,1
2019-07-18,Journal,95
2019-07-17,Journal,69
2019-07-16,Journal,71
2019-07-15,Journal,361
2019-07-14,Journal,4
2019-07-14,Book,1
2019-07-13,Journal,15
2019-07-12,Journal,57
2019-07-11,Journal,93
2019-07-10,Journal,58
2019-07-09,Journal,64
2019-07-09,Book,1
2019-07-08,Journal,90
2019-07-06,Journal,12
2019-07-05,Journal,83
2019-07-05,Book,1
2019-07-04,Journal,81
2019-07-03,Journal,47
2019-07-02,Journal,56
2019-07-01,Journal,1073
2019-06-30,Journal,8
2019-06-29,Journal,8
2019-06-28,Journal,80
2019-06-27,Journal,72
2019-06-26,Journal,48
2019-06-25,Journal,48
2019-06-24,Journal,106
2019-06-22,Journal,19
2019-06-21,Journal,70
2019-06-20,Journal,111
2019-06-20,Book,2
2019-06-19,Journal,90
2019-06-18,Journal,68
2019-06-17,Journal,70
2019-06-16,Journal,3
2019-06-15,Journal,690
2019-06-15,Book,2
2019-06-14,Journal,58
2019-06-13,Journal,93
2019-06-12,Journal,54
2019-06-11,Journal,77
2019-06-11,Book,1
2019-06-10,Journal,71
2019-06-08,Journal,8
2019-06-07,Journal,50
2019-06-07,Book,1
2019-06-06,Journal,71
2019-06-06,Book,1
2019-06-05,Journal,83
2019-06-04,Journal,76
2019-06-03,Journal,90
2019-06-01,Journal,1285
2019-05-31,Journal,34
2019-05-30,Journal,78
2019-05-29,Journal,52
2019-05-28,Journal,83
2019-05-27,Journal,63
2019-05-25,Journal,4
2019-05-24,Journal,65
2019-05-24,Book,2
2019-05-23,Journal,59
2019-05-22,Journal,58
2019-05-21,Journal,64
2019-05-20,Journal,56
2019-05-19,Journal,72
2019-05-18,Journal,9
2019-05-17,Journal,61
2019-05-16,Journal,85
2019-05-15,Journal,359
2019-05-14,Journal,68
2019-05-14,Book,2
2019-05-13,Journal,50
2019-05-12,Journal,1
2019-05-11,Journal,12
2019-05-10,Journal,100
2019-05-09,Journal,81
2019-05-08,Journal,50
2019-05-07,Journal,95
2019-05-06,Journal,63
2019-05-05,Journal,4
2019-05-04,Journal,8
2019-05-03,Journal,65
2019-05-03,Book,1
2019-05-02,Journal,72
2019-05-01,Journal,997
2019-05-01,Book,1
2019-04-30,Journal,58
2019-04-29,Journal,76
2019-04-28,Journal,1
2019-04-27,Journal,28
2019-04-26,Journal,25
2019-04-25,Journal,80
2019-04-25,Book,1
2019-04-24,Journal,47
2019-04-23,Journal,98
2019-04-22,Journal,20
2019-04-20,Journal,1
2019-04-19,Journal,66
2019-04-18,Journal,63
2019-04-17,Journal,35
2019-04-16,Journal,61
2019-04-15,Journal,609
2019-04-14,Journal,3
2019-04-13,Journal,12
2019-04-12,Journal,65
2019-04-11,Journal,109
2019-04-10,Journal,40
2019-04-09,Journal,95
2019-04-08,Journal,82
2019-04-07,Journal,1
2019-04-06,Journal,13
2019-04-05,Journal,145
2019-04-04,Journal,95
2019-04-03,Journal,90
2019-04-02,Journal,75
2019-04-02,Book,1
2019-04-01,Journal,1034
2019-03-30,Journal,51
2019-03-29,Journal,114
2019-03-28,Journal,63
2019-03-27,Journal,52
2019-03-26,Journal,45
2019-03-25,Journal,63
2019-03-23,Journal,4
2019-03-22,Journal,45
2019-03-21,Journal,78
2019-03-20,Journal,82
2019-03-19,Journal,49
2019-03-18,Journal,95
2019-03-16,Journal,28
2019-03-15,Journal,553
2019-03-14,Journal,138
2019-03-13,Journal,104
2019-03-12,Journal,86
2019-03-11,Journal,109
2019-03-09,Journal,21
2019-03-08,Journal,110
2019-03-07,Journal,126
2019-03-06,Journal,125
2019-03-06,Book,1
2019-03-05,Journal,113
2019-03-04,Journal,178
2019-03-02,Journal,25
2019-03-01,Journal,891
2019-02-28,Journal,150
2019-02-27,Journal,84
2019-02-26,Journal,76
2019-02-25,Journal,55
2019-02-23,Journal,3
2019-02-23,Book,1
2019-02-22,Journal,62
2019-02-21,Journal,81
2019-02-20,Journal,97
2019-02-19,Journal,75
2019-02-18,Journal,63
2019-02-16,Journal,1
2019-02-15,Journal,734
2019-02-14,Journal,121
2019-02-13,Journal,122
2019-02-12,Journal,72
2019-02-11,Journal,157
2019-02-09,Journal,22
2019-02-08,Journal,121
2019-02-07,Journal,143
2019-02-06,Journal,88
2019-02-05,Journal,77
2019-02-04,Journal,176
2019-02-03,Journal,2
2019-02-02,Journal,16
2019-02-01,Journal,742
2019-01-31,Journal,112
2019-01-30,Journal,98
2019-01-29,Journal,82
2019-01-28,Journal,110
2019-01-26,Journal,8
2019-01-25,Journal,92
2019-01-24,Journal,149
2019-01-23,Journal,106
2019-01-23,Book,1
2019-01-22,Journal,117
2019-01-21,Journal,58
2019-01-19,Journal,9
2019-01-18,Journal,75
2019-01-17,Journal,81
2019-01-16,Journal,44
2019-01-15,Journal,377
2019-01-14,Journal,46
2019-01-13,Journal,1
2019-01-12,Journal,11
2019-01-11,Journal,47
2019-01-10,Journal,104
2019-01-09,Journal,50
2019-01-08,Journal,78
2019-01-07,Journal,56
2019-01-06,Journal,2
2019-01-05,Journal,36
2019-01-04,Journal,32
2019-01-03,Journal,93
2019-01-02,Journal,46
2019-01-01,Book,7268
2019-01-01,Journal,705
2018-12-31,Journal,15
2018-12-30,Journal,3
2018-12-29,Journal,41
2018-12-28,Journal,19
2018-12-27,Journal,33
2018-12-26,Journal,8
2018-12-25,Journal,1
2018-12-24,Journal,13
2018-12-22,Journal,19
2018-12-21,Journal,38
2018-12-21,Book,1
2018-12-20,Journal,49
2018-12-19,Journal,43
2018-12-18,Journal,99
2018-12-17,Journal,59
2018-12-15,Journal,84
2018-12-14,Journal,50
2018-12-13,Journal,72
2018-12-12,Journal,64
2018-12-11,Journal,46
2018-12-10,Journal,39
2018-12-09,Journal,1
2018-12-08,Journal,11
2018-12-07,Journal,70
2018-12-07,Book,1
2018-12-06,Journal,41
2018-12-05,Journal,72
2018-12-04,Journal,63
2018-12-03,Journal,48
2018-12-01,Journal,2325
2018-11-30,Journal,48
2018-11-29,Journal,61
2018-11-28,Journal,32
2018-11-27,Journal,47
2018-11-27,Book,1
2018-11-26,Journal,69
2018-11-24,Journal,14
2018-11-23,Journal,46
2018-11-22,Journal,61
2018-11-21,Journal,66
2018-11-20,Journal,78
2018-11-19,Journal,62
2018-11-18,Journal,1
2018-11-17,Journal,11
